Date,Open,High,Low,Close,Volume,Name
2006-01-03,77.76,79.35,77.24,79.11,3117200,MMM
2006-01-04,79.49,79.49,78.25,78.71,2558000,MMM
2006-01-05,78.41,78.65,77.56,77.99,2529500,MMM
2006-01-06,78.64,78.9,77.64,78.63,2479500,MMM
2006-01-09,78.5,79.83,78.46,79.02,1845600,MMM
2006-01-10,79.0,79.01,78.08,78.53,1919900,MMM
2006-01-11,78.44,78.66,77.84,78.37,1911900,MMM
2006-01-12,78.2,78.23,77.2,77.7,2121100,MMM
2006-01-13,76.95,78.2,76.95,77.5,1925300,MMM
2006-01-17,77.1,77.62,77.0,77.09,2073400,MMM
2006-01-18,77.0,77.28,76.52,76.99,1838400,MMM
2006-01-19,77.19,77.37,76.7,76.91,1807100,MMM
2006-01-20,76.91,76.91,75.18,75.24,3286900,MMM
2006-01-23,75.5,76.23,74.81,75.7,2953500,MMM
2006-01-24,74.01,75.6,73.72,74.2,5511200,MMM
2006-01-25,73.25,73.83,72.75,73.0,7475200,MMM
2006-01-26,73.22,73.43,72.02,72.7,5027500,MMM
2006-01-27,72.45,73.25,72.4,72.65,3813100,MMM
2006-01-30,72.9,73.34,72.42,72.65,3463600,MMM
2006-01-31,72.4,73.25,71.96,72.75,5317900,MMM
2006-02-01,72.3,73.4,72.01,73.19,3828100,MMM
2006-02-02,73.16,73.68,72.05,72.15,3207100,MMM
2006-02-03,71.75,72.09,71.0,71.1,3258300,MMM
2006-02-06,71.0,71.3,70.99,71.17,2551500,MMM
2006-02-07,71.16,71.29,70.57,70.65,3133200,MMM
2006-02-08,70.65,71.28,70.3,71.0,2846100,MMM
2006-02-09,71.36,72.88,71.25,72.12,3798100,MMM
2006-02-10,72.29,72.99,71.5,72.61,2932400,MMM
2006-02-13,72.69,73.42,72.64,72.91,2320300,MMM
2006-02-14,73.5,74.12,73.41,73.7,3859400,MMM
2006-02-15,73.71,74.18,73.09,73.13,2672900,MMM
2006-02-16,73.2,73.35,72.5,73.05,2923000,MMM
2006-02-17,73.15,74.15,73.08,73.77,2338600,MMM
2006-02-21,73.67,74.1,72.85,73.2,3706300,MMM
2006-02-22,73.19,73.74,72.98,72.98,2674100,MMM
2006-02-23,73.1,74.08,73.0,73.65,2694800,MMM
2006-02-24,73.94,74.16,73.13,73.91,1931100,MMM
2006-02-27,74.0,74.66,73.69,73.69,2774300,MMM
2006-02-28,73.7,74.08,73.12,73.59,2695300,MMM
2006-03-01,74.19,74.19,73.51,73.67,2036800,MMM
2006-03-02,73.64,73.8,72.99,73.05,2657200,MMM
2006-03-03,73.05,73.29,72.66,72.88,3171200,MMM
2006-03-06,72.46,72.8,71.54,71.95,3587200,MMM
2006-03-07,71.8,72.34,71.33,72.27,2954800,MMM
2006-03-08,72.51,73.07,72.05,72.38,2494700,MMM
2006-03-09,72.53,72.76,71.77,71.8,2148800,MMM
2006-03-10,71.9,72.8,71.88,72.32,1832700,MMM
2006-03-13,72.5,72.52,71.88,72.09,1997600,MMM
2006-03-14,72.18,73.75,72.18,73.53,2629000,MMM
2006-03-15,73.28,74.24,73.01,74.0,2863700,MMM
2006-03-16,74.49,75.46,74.29,74.89,4338200,MMM
2006-03-17,75.3,75.45,74.75,74.79,4049500,MMM
2006-03-20,74.84,75.19,74.55,75.0,1748700,MMM
2006-03-21,75.2,75.34,74.63,74.93,3197700,MMM
2006-03-22,74.76,76.15,74.76,76.07,2954700,MMM
2006-03-23,76.68,76.96,76.01,76.77,3468700,MMM
2006-03-24,76.65,77.06,76.38,76.8,3419400,MMM
2006-03-27,76.7,77.23,76.51,76.84,2792500,MMM
2006-03-28,76.84,77.2,76.15,76.3,3511000,MMM
2006-03-29,77.81,78.74,77.56,77.56,5308200,MMM
2006-03-30,77.57,77.62,76.0,76.52,3362600,MMM
2006-03-31,76.52,76.88,75.61,75.69,3125800,MMM
2006-04-03,75.97,77.19,75.76,75.84,3603000,MMM
2006-04-04,76.52,77.99,76.52,77.0,3634600,MMM
2006-04-05,77.89,77.9,76.8,77.46,2784300,MMM
2006-04-06,79.99,82.01,79.54,81.38,10471100,MMM
2006-04-07,81.25,82.08,80.81,81.03,4108100,MMM
2006-04-10,80.11,81.37,80.11,80.98,2567100,MMM
2006-04-11,80.17,81.12,80.17,80.79,2791600,MMM
2006-04-12,79.98,81.37,79.98,81.1,2456800,MMM
2006-04-13,80.9,81.54,80.58,80.97,1793900,MMM
2006-04-17,80.55,80.71,79.31,80.26,3122500,MMM
2006-04-18,80.36,82.2,80.34,81.59,4374600,MMM
2006-04-19,81.69,82.39,81.66,81.88,2922500,MMM
2006-04-20,81.85,82.97,81.37,82.6,4281500,MMM
2006-04-21,84.0,85.5,83.91,85.06,9268300,MMM
